",oosCurve,updated,2018-09-17 12:01:08,2018-09-17 12:07:05
58,2,61,6,@CL,1,C:\ZTS\Dropbox\ats\CandidateArchive\cand_DP_2_T1_15_T2_na_mkt_73.txt,tbd,7,15,min,,,200,2010-11-22,2017-12-29,f,3,1,0,5,0,25,2.10,24,8,0,,,,2,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int SL_switch:int SL:int PT_switch:int PT:int,261,2018-09-16,2015-11-14,2018-09-16,"25  2  10  0  1000  0  1000  	2010/11/10 - 2011/07/29	261	4,010	9,200.00	-5,930.00	5.93%	103	48.54%	1.38	89.32	862.20	-60.00	1.31	2.17	14.78%	25  2  10  0  1000  0  1000  
15  2  10  0  1000  0  1000  	2011/07/29 - 2012/04/13	259	4,010	8,270.00	-9,260.00	9.26%	113	53.10%	1.12	73.19	831.88	80.00	1.27	1.26	17.58%	15  2  10  0  1000  0  1000  
20  1.90  6  0  1000  0  1000  	2012/04/13 - 2012/12/26	257	4,010	-1,980.00	-9,840.00	9.84%	116	44.83%	1.16	-17.07	728.68	-50.00	0.94	-0.29	40.06%	20  1.90  6  0  1000  0  1000  
15  1.80  7  0  1000  0  1000  	2012/12/26 - 2013/09/20	268	4,010	2,810.00	-8,940.00	8.94%	116	50.00%	1.09	24.22	722.06	10.00	1.09	0.43	35.93%	15  1.80  7  0  1000  0  1000  
20  1.90  5  0  1000  0  1000  	2013/09/20 - 2014/06/04	257	4,010	7,510.00	-3,510.00	3.51%	123	52.03%	1.32	61.06	472.10	10.00	1.43	3.04	7.70%	20  1.90  5  0  1000  0  1000  
20  1.90  11  0  1000  0  1000  	2014/06/04 - 2015/02/19	260	4,010	21,040.00	-8,110.00	8.11%	120	55.00%	1.41	175.33	859.26	80.00	1.72	3.64	1.36%	20  1.90  11  0  1000  0  1000  
25  1.90  11  0  1000  0  1000  	2015/02/19 - 2015/11/09	263	4,010	16,560.00	-4,500.00	4.50%	119	63.03%	0.98	139.16	726.13	170.00	1.67	5.11	1.94%	25  1.90  11  0  1000  0  1000  
25  1.80  10  0  1000  0  1000  	2015/11/09 - 2016/07/28	262	4,010	3,720.00	-5,600.00	5.60%	107	61.68%	0.73	34.77	557.35	160.00	1.18	0.93	26.01%	25  1.80  10  0  1000  0  1000  
30  2.40  10  0  1000  0  1000  	2016/07/28 - 2017/04/11	257	4,010	8,180.00	-2,830.00	2.83%	104	57.69%	1.15	78.65	506.38	50.00	1.57	4.11	5.81%	30  2.40  10  0  1000  0  1000  
30  2.40  11  0  1000  0  1000  	2017/04/11 - 2017/12/29	262	4,010	4,490.00	-3,560.00	3.56%	96	48.96%	1.39	46.77	441.59	-15.00	1.33	1.76	15.10%	30  2.40  11  0  1000  0  1000  
",oosCurve,updated,2018-09-12 04:02:21,2018-09-12 04:15:36
48,10,116,1,@ES.D,0,C:\ZTS\Dropbox\ats\CandidateArchive\cand_DP_10_T1_30_T2_na_mkt_27.txt,tbd,9,30,min,,,200,2010-11-22,2017-12-29,f,1,1,0,3,0,25,1.65,38,19,2,,,,1,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int Filter1_N2:int SL_switch:int SL:int PT_switch:int PT:int,261,2018-09-16,2015-11-26,2018-09-16,"25  1.55  16  3  0  1000  0  1000  	2010/11/19 - 2011/08/05	259	2,136	1,312.50	-3,112.50	3.11%	82	59.76%	0.78	16.01	310.04	25.00	1.15	0.59	32.07%	25  1.55  16  3  0  1000  0  1000  
25  1.55  16  5  0  1000  0  1000  	2011/08/05 - 2012/04/23	262	2,136	7,737.50	-2,250.00	2.25%	65	70.77%	0.87	119.04	429.54	125.00	2.10	4.79	1.45%	25  1.55  16  5  0  1000  0  1000  
25  1.45  20  4  0  1000  0  1000  	2012/04/23 - 2013/01/14	266	2,136	1,237.50	-2,137.50	2.14%	80	56.25%	0.89	15.47	298.86	25.00	1.15	0.79	32.23%	25  1.45  20  4  0  1000  0  1000  
30  1.55  20  3  0  1000  0  1000  	2013/01/14 - 2013/09/25	258	2,136	-3,462.50	-4,625.00	4.63%	82	53.66%	0.60	-42.23	351.02	6.25	0.70	-1.06	13.96%	30  1.55  20  3  0  1000  0  1000  
15  1.45  18  5  0  1000  0  1000  	2013/09/25 - 2014/06/16	264	2,136	575.00	-2,012.50	2.01%	92	56.52%	0.81	6.25	286.05	56.25	1.06	0.40	41.72%	15  1.45  18  5  0  1000  0  1000  
20  1.95  20  4  0  1000  0  1000  	2014/06/16 - 2015/03/04	268	2,136	425.00	-5,312.50	5.31%	58	62.07%	0.64	7.33	560.34	68.75	1.04	0.11	46.05%	20  1.95  20  4  0  1000  0  1000  
25  1.45  16  3  0  1000  0  1000  	2015/03/04 - 2015/11/13	254	2,136	-900.00	-3,987.50	3.99%	82	56.10%	0.74	-10.98	613.54	12.50	0.95	-0.32	43.59%	25  1.45  16  3  0  1000  0  1000  
30  1.45  20  5  0  1000  0  1000  	2015/11/13 - 2016/08/01	262	2,136	5,512.50	-3,550.00	3.55%	80	58.75%	0.99	68.91	535.00	93.75	1.40	2.16	12.64%	30  1.45  20  5  0  1000  0  1000  
20  1.35  16  3  0  1000  0  1000  	2016/08/01 - 2017/04/11	253	2,136	5,325.00	-2,325.00	2.33%	92	58.70%	1.06	57.88	386.81	75.00	1.50	3.30	7.73%	20  1.35  16  3  0  1000  0  1000  
20  1.35  16  2  0  1000  0  1000  	2017/04/11 - 2017/12/29	262	2,136	5,462.50	-1,800.00	1.80%	114	61.40%	1.04	47.92	270.69	56.25	1.66	4.23	3.07%	20  1.35  16  2  0  1000  0  1000  
",oosCurve,updated,2018-09-12 00:44:16,2018-09-12 00:57:46
46,10,111,1,@ES.D,0,C:\ZTS\Dropbox\ats\CandidateArchive\cand_DP_10_T1_30_T2_na_mkt_128.txt,tbd,9,30,min,,,200,2010-11-22,2017-12-29,f,1,1,0,2,0,40,0.75,8,6,10,,,,1,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int Filter1_N2:int SL_switch:int SL:int PT_switch:int PT:int,260,2018-09-14,2015-11-24,2018-09-14,"45  0.45  6  7  0  1000  0  1000  	2010/11/23 - 2011/08/08	258	2,136	-3,000.00	-7,412.50	7.41%	108	55.56%	0.64	-27.78	368.37	43.75	0.80	-0.57	21.75%	45  0.45  6  7  0  1000  0  1000  
45  0.45  9  7  0  1000  0  1000  	2011/08/08 - 2012/04/24	270	2,136	10,375.00	-2,237.50	2.24%	105	65.71%	0.89	98.81	483.31	125.00	1.71	6.27	1.93%	45  0.45  9  7  0  1000  0  1000  
45  0.45  9  7  0  1000  0  1000  	2012/04/24 - 2013/01/14	265	2,136	2,787.50	-1,937.50	1.94%	100	55.00%	1.02	27.88	343.24	43.75	1.24	1.98	20.93%	45  0.45  9  7  0  1000  0  1000  
45  0.45  9  7  0  1000  0  1000  	2013/01/14 - 2013/09/27	256	2,136	962.50	-3,450.00	3.45%	116	61.21%	0.68	8.30	348.93	50.00	1.07	0.40	39.92%	45  0.45  9  7  0  1000  0  1000  
50  0.75  3  7  0  1000  0  1000  	2013/09/27 - 2014/06/13	259	2,136	937.50	-3,850.00	3.85%	88	53.41%	0.96	10.65	304.77	12.50	1.10	0.34	37.19%	50  0.75  3  7  0  1000  0  1000  
35  0.55  9  7  0  1000  0  1000  	2014/06/13 - 2015/03/04	264	2,136	4,237.50	-3,375.00	3.38%	104	58.65%	0.90	40.75	490.47	43.75	1.27	1.74	19.94%	35  0.55  9  7  0  1000  0  1000  
35  0.55  9  7  0  1000  0  1000  	2015/03/04 - 2015/11/13	254	2,136	1,475.00	-5,662.50	5.66%	102	63.73%	0.61	14.46	622.66	68.75	1.07	0.37	40.75%	35  0.55  9  7  0  1000  0  1000  
50  0.65  9  7  0  1000  0  1000  	2015/11/13 - 2016/08/01	262	2,136	8,887.50	-3,875.00	3.88%	95	58.95%	1.10	93.55	528.23	125.00	1.59	3.20	4.38%	50  0.65  9  7  0  1000  0  1000  
50  0.65  9  7  0  1000  0  1000  	2016/08/01 - 2017/04/18	260	2,136	2,225.00	-2,525.00	2.52%	89	51.69%	1.15	25.00	319.09	0.00	1.23	1.24	23.09%	50  0.65  9  7  0  1000  0  1000  
50  0.65  8  8  0  1000  0  1000  	2017/04/18 - 2017/12/28	254	2,136	3,850.00	-2,437.50	2.44%	101	57.43%	1.08	38.12	287.22	50.00	1.45	2.27	9.27%	50  0.65  8  8  0  1000  0  1000  
",oosCurve,updated,2018-09-11 23:49:12,2018-09-12 00:16:46
60,9,81,2,@YM.D,1,C:\ZTS\Dropbox\ats\CandidateArchive\cand_DP_9_T1_30_T2_na_mkt_50.txt,tbd,9,30,min,,,200,2010-11-22,2017-12-29,f,1,1,0,3,0,5,1.05,35,17,7,,,,1,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int Filter1_N2:int SL_switch:int SL:int PT_switch:int PT:int,259,2018-09-14,2015-11-23,2018-09-14,"15  0.95  16  4  0  1000  0  1000  	2010/11/23 - 2011/08/05	255	2,136	985.00	-2,450.00	2.45%	105	60.00%	0.73	9.38	281.54	45.00	1.10	0.58	36.67%	15  0.95  16  4  0  1000  0  1000  
10  0.75  18  4  0  1000  0  1000  	2011/08/09 - 2012/04/24	259	2,136	6,065.00	-4,465.00	4.46%	112	58.04%	1.00	54.15	436.58	90.00	1.39	1.91	9.60%	10  0.75  18  4  0  1000  0  1000  
15  0.85  16  4  0  1000  0  1000  	2012/04/24 - 2013/01/14	266	2,136	-3,145.00	-4,335.00	4.33%	111	47.75%	0.87	-28.33	320.76	-10.00	0.80	-1.00	17.70%	15  0.85  16  4  0  1000  0  1000  
15  1.05  18  4  0  1000  0  1000  	2013/01/14 - 2013/09/27	256	2,136	1,085.00	-2,430.00	2.43%	100	69.00%	0.50	10.85	278.88	50.00	1.12	0.64	34.90%	15  1.05  18  4  0  1000  0  1000  
10  1.25  19  4  0  1000  0  1000  	2013/09/27 - 2014/06/16	262	2,136	-565.00	-3,060.00	3.06%	85	60.00%	0.62	-6.65	256.95	50.00	0.93	-0.26	40.60%	10  1.25  19  4  0  1000  0  1000  
10  1.25  19  4  0  1000  0  1000  	2014/06/16 - 2015/03/04	261	2,136	3,235.00	-3,045.00	3.04%	95	58.95%	0.90	34.05	403.40	45.00	1.29	1.49	20.64%	10  1.25  19  4  0  1000  0  1000  
10  1.25  19  4  0  1000  0  1000  	2015/03/04 - 2015/11/13	254	2,136	765.00	-2,140.00	2.14%	75	54.67%	0.88	10.20	454.35	40.00	1.07	0.51	42.32%	10  1.25  19  4  0  1000  0  1000  
10  1.25  16  4  0  1000  0  1000  	2015/11/13 - 2016/08/01	262	2,136	5,940.00	-3,350.00	3.35%	86	61.63%	0.95	69.07	439.76	97.50	1.52	2.47	7.45%	10  1.25  16  4  0  1000  0  1000  
10  1.25  14  4  0  1000  0  1000  	2016/08/01 - 2017/04/11	253	2,136	7,800.00	-1,335.00	1.33%	80	60.00%	1.71	97.50	304.61	70.00	2.57	8.43	0.27%	10  1.25  14  4  0  1000  0  1000  
10  1.25  14  4  0  1000  0  1000  	2017/04/11 - 2017/12/29	262	2,136	3,180.00	-1,830.00	1.83%	97	53.61%	1.20	32.78	268.62	10.00	1.39	2.42	11.62%	10  1.25  14  4  0  1000  0  1000  
